AYEAR,UNIV_PROVINCE_NAME,U_G,UNIV_TYPE_NAME,UNIV_NAME_TH,FAC_NAME,PROGRAM_NAME,LEV_NAME_TH,GENDER_NAME,AMOUNT
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,ช่างเครื่องบิน,อนุปริญญา,ชาย,5
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,ช่างเอวิโอนิกส์,อนุปริญญา,ชาย,14
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,ช่างเอวิโอนิกส์,อนุปริญญา,หญิง,2
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,วิทยาการการบิน,ปริญญาตรี,ชาย,63
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,วิทยาการการบิน,ปริญญาตรี,หญิง,52
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,วิศวกรรมอิเล็กทรอนิกส์การบิน,ปริญญาตรี,ชาย,35
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,วิศวกรรมอิเล็กทรอนิกส์การบิน,ปริญญาตรี,หญิง,16
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิทยาศาสตร์และเทคโนโลยี,วิศวกรรมซอฟต์แวร์และระบบสารสนเทศ,ปริญญาตรี,ชาย,5
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิทยาศาสตร์และเทคโนโลยี,วิศวกรรมซอฟต์แวร์และระบบสารสนเทศ,ปริญญาตรี,หญิง,1
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีสิ่งแวดล้อม,ปริญญาเอก,ชาย,1
